category,s3_json_path,s3_image_path
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_05064.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_05064.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_12842.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_12842.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_05217.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_05217.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01306.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01306.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_04463.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_04463.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_00190.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_00190.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01138.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01138.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01065.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01065.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_08510.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_08510.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_13365.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_13365.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_11497.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_11497.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_12261.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_12261.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_00795.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_00795.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_09352.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_09352.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01408.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01408.jpg
