category,s3_json_path,s3_image_path
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_02142.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_02142.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01673.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01673.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_02641.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_02641.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_06592.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_06592.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_10273.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_10273.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_07843.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_07843.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_06289.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_06289.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_02638.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_02638.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01547.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_01547.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_12013.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_12013.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_09260.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_09260.jpg
Normal Solar,labels/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_16373.json,images/SolarPanel/Normal/PanelFront/2025_Youngkwang_Normal_16373.jpg
